item_id,set,question_id,sentence
Set1_Q1,Set 1,QID519,"<span style=""color:#000000;""><span style=""font-size:19px;"">Kwangu nahisi naweza pata zote asilimia kwa vile ninavyo elewa afya mara nyingi unapata lazima upate ushauri mara kwa mara kwani </span><strong><u><span style=""font-size:19px;"">sekta</span></u></strong><span style=""font-size:19px;""><strong><u> </u></strong>ya afya ni pana.</span></span>"
Set1_Q2,Set 1,QID520,Which option best describes the bolded and underlined word in the sentence above?
Set1_Q3,Set 1,QID525,"<span style=""font-size:19px;""><span style=""color:#000000;"">Daktari huwa ananipigia <u><strong>simu</strong></u> kunijulia Hali Na kunipa motisha ya kumeza madawa vilivyo.Hii imenipa motisha ya kumeza madawa vilivyo na kuwa na imani.</span></span>"
Set1_Q4,Set 1,QID526,Which option best describes the bolded and underlined word in the sentence above?
Set1_Q5,Set 1,QID764,"<span style=""color:#000000;""><span style=""font-size:19px;"">Daktari kwa ujumla anasoma na akahitimu. Pia ana experience inayomfanya <u><strong>prowess</strong></u> ambaye naweza muamini.</span></span>"
Set1_Q6,Set 1,QID765,Which option best describes the bolded and underlined word in the sentence above?
Set1_Q7,Set 1,QID754,"<span style=""color:#000000;""><span style=""font-size:19px;"">Ni ngumu sana mimi kugonjeka. Mara nyingi mimi huweza kujitibu mwenyewe na <u><strong>dawa ya ushago</strong></u> na ikizidi sana mimi huenda hospitalini na kufuata.</span></span>"
Set1_Q8,Set 1,QID755,Which option best describes the bolded and underlined word in the sentence above?
Set1_Q9,Set 1,QID791,"<span style=""font-size:19px;""><span style=""color:#000000;"">Kwa kiwango cha juu kwa kupitia maelezo ninayo pata kutoka kwa madagtari<strong><span style=""color:#3498db;""> </span></strong>na <u><strong>wahuguzi</strong></u> kwa sababu wako tayari kunipa maelezo yote ambayo niyoitaji</span></span>"
Set1_Q10,Set 1,QID792,Which option best describes the bolded and underlined word in the sentence above?
Set1_Q11,Set 1,QID583,"<span style=""color:#000000;""><span style=""font-size:19px;"">Kwa wakati mmoja mtoto aliimeza </span><u><strong><span style=""font-size:19px;"">switi</span></strong></u><span style=""font-size:19px;""> na kwanza kunyongwa. Nilimchukua mtoto yule na kumwinamisha kichwa chini nikipapasa uti wa mgongo hadi akaita ile </span><u><strong><span style=""font-size:19px;"">switi</span></strong></u><span style=""font-size:19px;"">.</span></span>"
Set1_Q12,Set 1,QID584,Which option best describes the bolded and underlined word in the sentence above?
Set1_Q13,Set 1,QID445,"<span style=""font-size:19px;""><span style=""color:#000000;"">Ninamwamini dakitari wangu kwa sababu baada ya kupata </span><strong><span style=""color:#000000;""><u>madibabu</u>.</span><span style=""color:#3498db;"">&nbsp;</span></strong><span style=""color:#000000;"">Kuna uweza nguvu mwilini baada ya siku chache.</span></span>"
Set1_Q14,Set 1,QID446,Which option best describes the bolded and underlined word in the sentence above?
Set1_Q15,Set 1,QID655,"<span style=""color:#000000;""><span style=""font-size:19px;"">Wakati wa mafunzo yangu katika kituo cha afya, nilihusika katika kusimamia uhifadhi wa </span><u><strong><span style=""font-size:19px;"">data</span></strong></u><span style=""font-size:19px;""><u> </u>ya mgonjwa.</span></span>"
Set1_Q16,Set 1,QID656,Which option best describes the bolded and underlined word in the sentence above?
